ID,DW_WBD_URL,CATEGORIA
2443601389,https://bancobradesco/html/prime/resultadobusca/indexshtm?q=Seguro20Superprotegido20PremiC3A1vels=Prime,
3648308983,https://bancobradesco/html/prime/resultadobusca/indexshtm?q=Para20Sua20Empresas=Prime,
1292474135,https://bancobradesco/html/prime/resultadobusca/indexshtm?q=HOME20BROKERs=Prime,
3254927246,https://bancobradesco/html/prime/resultadobusca/indexshtm?q=DUDAs=Prime,
1582389793,https://bancobradesco/html/prime/resultadobusca/indexshtm?q=DETRANs=Prime,
3119694318,https://bancobradesco/html/prime/resultadobusca/indexshtm?q=Cancelar20debito20automaticos=Prime,
1222477247,https://bancobradesco/html/prime/resultadobusca/indexshtm?q=AGC38ANCIAs=Prime,
4197914703,https://bancobradesco/html/prime/resultadobusca/indexshtm?q=2vias=Prime,
3015947277,https://bancobradesco/html/prime/resultadobusca/indexshtm?q=2s=Prime,
1421474476,https://bancobradesco/html/prime/resultadobusca/indexshtm?q=2C2BA20vias=Prime,
3408670112,https://bancobradesco/html/prime/resultadobusca/indexshtm?q=220via20bradesco20s=Prime,
350166611,https://bancobradesco/html/prime/resultadobusca/indexshtm?q=220via20boletos20s=Prime,
1028436974,https://bancobradesco/html/prime/resultadobusca/indexshtm?q=1s=Prime,
3112585344,https://bancobradesco/html/prime/resultadobusca/indexshtm?q=0327s=Prime,
1941484764,https://bancobradesco/html/prime/promocoes/visa/indexshtm,
823528075,https://bancobradesco/html/prime/promocoes/validacaodigital/indexshtm,
764944523,https://bancobradesco/html/prime/promocoes/teatro/indexshtm,
2502864110,https://bancobradesco/html/prime/promocoes/superconsignado/numerossorteshtmnumerossortes,
383271959,https://bancobradesco/html/prime/promocoes/superconsignado/indexshtm,
2273339771,https://bancobradesco/html/prime/promocoes/pelomundocomvoce/indexshtm,
3640841089,https://bancobradesco/html/prime/promocoes/pelomundocomvoce/beneficiosshtm?cartao=platinumantes,
1084714411,https://bancobradesco/html/prime/promocoes/pelomundocomvoce/beneficiosshtm?cartao=platinum,
3265664662,https://bancobradesco/html/prime/promocoes/pelomundocomvoce/beneficiosshtm?cartao=black,
2931100686,https://bancobradesco/html/prime/promocoes/pelomundocomvoce/beneficiodetalheshtm?beneficio=1cartao=platinumpos=0momento=antes,
2872427657,https://bancobradesco/html/prime/promocoes/mastercard/indexshtm,
2721302968,https://bancobradesco/html/prime/promocoes/indexshtm,
2597382408,https://bancobradesco/html/prime/promocoes/debitoautomatico/indexshtm,
2422106610,https://bancobradesco/html/prime/promocoes/cinemark/indexshtm,
2407635475,https://bancobradesco/html/prime/promocoes/cinemark/,
1379260862,https://bancobradesco/html/prime/promocoes/bradescomusic/indexshtm,
1413971176,https://bancobradesco/html/prime/promocoes/bradescocambio/indexshtm,
2262891188,https://bancobradesco/html/prime/promocoes/amex/indexshtm,
1847968565,https://bancobradesco/html/prime/produtosservicos/vidaeprevidencia/indexshtm,
3488631196,https://bancobradesco/html/prime/produtosservicos/tiposdeconta/abrasuacontashtm,
3647219060,https://bancobradesco/html/prime/produtosservicos/tarifas/indexshtm,
3789709855,https://bancobradesco/html/prime/produtosservicos/tarifas/cestaservicosnovavigenciashtm,
2347402863,https://bancobradesco/html/prime/produtosservicos/seguros/indexshtm,
3601052055,https://bancobradesco/html/prime/produtosservicos/outros/transacoesinternacionaisshtm,
953130029,https://bancobradesco/html/prime/produtosservicos/maisprodutosservicos/tribunaldejusticadoriodejaneiroshtm,
3789368351,https://bancobradesco/html/prime/produtosservicos/maisprodutosservicos/transacoesinternacionaisshtm,
3454088606,https://bancobradesco/html/prime/produtosservicos/maisprodutosservicos/segundaviaboletoshtm,
2924597288,https://bancobradesco/html/prime/produtosservicos/maisprodutosservicos/regularizacaodedividashtm,
3380558643,https://bancobradesco/html/prime/produtosservicos/maisprodutosservicos/primeline/materias/indexshtm,
2843529569,https://bancobradesco/html/prime/produtosservicos/maisprodutosservicos/primeline/materias/destaque2shtm,
2156478199,https://bancobradesco/html/prime/produtosservicos/maisprodutosservicos/primeline/investimentos/indexshtm,
2248265041,https://bancobradesco/html/prime/produtosservicos/maisprodutosservicos/primeline/indexshtm,
2032400569,https://bancobradesco/html/prime/produtosservicos/maisprodutosservicos/primeline/encartes/indexshtm,
2306710384,https://bancobradesco/html/prime/produtosservicos/maisprodutosservicos/primeline/economia/indexshtm,
3949175594,https://bancobradesco/html/prime/produtosservicos/maisprodutosservicos/pagamentosshtm,
3767258163,https://bancobradesco/html/prime/produtosservicos/maisprodutosservicos/indexshtm,
1513552319,https://bancobradesco/html/prime/produtosservicos/maisprodutosservicos/depositodechequepelocelularshtm,
1415566243,https://bancobradesco/html/prime/produtosservicos/maisprodutosservicos/debitoautomaticoshtm,
2080330240,https://bancobradesco/html/prime/produtosservicos/investimentos/tesourodiretoshtm,
889618090,https://bancobradesco/html/prime/produtosservicos/investimentos/poupatrocoshtm,
195069550,https://bancobradesco/html/prime/produtosservicos/investimentos/poupancashtm,
83120616,https://bancobradesco/html/prime/produtosservicos/investimentos/orientacoesparainvestirshtm,
556337330,https://bancobradesco/html/prime/produtosservicos/investimentos/orientacoesparainvestir/meuprimeiroinvestimentoshtm,
1520364724,https://bancobradesco/html/prime/produtosservicos/investimentos/orientacoesparainvestir/indexshtm,
